         88129 function calls (86995 primitive calls) in 0.202 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 blocks.py:324(slice_block_columns)
       20    0.000    0.000    0.000    0.000 contextlib.py:299(helper)
        3    0.000    0.000    0.000    0.000 _array_api.py:424(_weighted_sum)
       27    0.000    0.000    0.000    0.000 _ufunc_config.py:435(__exit__)
       27    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
        2    0.000    0.000    0.000    0.000 managers.py:1875(to_2d_mgr)
       14    0.000    0.000    0.000    0.000 inspect.py:747(unwrap)
      210    0.000    0.000    0.000    0.000 inspect.py:2782(name)
       54    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
       99    0.000    0.000    0.000    0.000 enum.py:1116(__new__)
       41    0.000    0.000    0.000    0.000 common.py:568(require_length_match)
        4    0.000    0.000    0.000    0.000 basic.py:2844(set_feature_name)
       56    0.000    0.000    0.000    0.000 config.py:617(_select_options)
        4    0.000    0.000    0.000    0.000 basic.py:326(_list_to_1d_numpy)
        1    0.000    0.000    0.000    0.000 basic.py:573(<lambda>)
        8    0.000    0.000    0.009    0.001 data.py:514(_from_pandas_df)
       72    0.000    0.000    0.000    0.000 common.py:121(classes)
        3    0.000    0.000    0.000    0.000 api.py:202(union_indexes)
       59    0.000    0.000    0.000    0.000 base.py:831(_reset_identity)
       27    0.000    0.000    0.000    0.000 fromnumeric.py:1332(searchsorted)
       14    0.000    0.000    0.000    0.000 managers.py:948(from_blocks)
        2    0.000    0.000    0.000    0.000 basic.py:2869(set_label)
        3    0.000    0.000    0.000    0.000 api.py:120(_get_combined_index)
        3    0.000    0.000    0.001    0.000 basic.py:4387(predict)
       54    0.000    0.000    0.000    0.000 _array_api.py:144(<genexpr>)
       44    0.000    0.000    0.000    0.000 callback.py:303(_is_train_set)
       45    0.000    0.000    0.000    0.000 _param_validation.py:525(is_satisfied_by)
       14    0.000    0.000    0.000    0.000 __init__.py:1529(info)
        1    0.000    0.000    0.000    0.000 basic.py:3485(__del__)
       54    0.000    0.000    0.000    0.000 arraysetops.py:630(<genexpr>)
        4    0.000    0.000    0.000    0.000 decoder.py:332(decode)
       45    0.000    0.000    0.000    0.000 validation.py:291(_is_arraylike)
       30    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
       72    0.000    0.000    0.000    0.000 common.py:123(<lambda>)
        5    0.000    0.000    0.000    0.000 data.py:1202(dispatch_meta_backend)
        8    0.000    0.000    0.000    0.000 data.py:60(_is_scipy_csr)
       17    0.000    0.000    0.000    0.000 copy.py:231(_keep_alive)
       14    0.000    0.000    0.000    0.000 core.py:179(log_fixup)
       53    0.000    0.000    0.000    0.000 construction.py:758(_maybe_repeat)
        3    0.000    0.000    0.000    0.000 concat.py:699(new_axes)
       60    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       35    0.000    0.000    0.000    0.000 flags.py:87(allows_duplicate_labels)
       18    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
       99    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       21    0.000    0.000    0.000    0.000 data.py:528(_is_pandas_series)
        3    0.000    0.000    0.000    0.000 core.py:954(get_float_info)
      103    0.000    0.000    0.000    0.000 basic.py:254(_safe_call)
        1    0.000    0.000    0.000    0.000 core.py:1768(_set_trained_model_attributes)
        3    0.000    0.000    0.000    0.000 _methods.py:101(_mean)
        5    0.000    0.000    0.000    0.000 basic.py:767(_pandas_to_numpy)
        5    0.000    0.000    0.000    0.000 data.py:1134(_validate_meta_shape)
       56    0.000    0.000    0.000    0.000 config.py:649(_get_deprecated_option)
        5    0.000    0.000    0.000    0.000 data.py:536(_meta_from_pandas_series)
       16    0.000    0.000    0.000    0.000 core.py:306(_validate_feature_info)
        9    0.000    0.000    0.000    0.000 common.py:572(condition)
       39    0.000    0.000    0.000    0.000 _array_api.py:288(astype)
       69    0.000    0.000    0.000    0.000 managers.py:1837(__init__)
      108    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
       12    0.000    0.000    0.000    0.000 construction.py:742(_get_axes)
        2    0.000    0.000    0.000    0.000 basic.py:2691(get_field)
       25    0.000    0.000    0.000    0.000 blocks.py:1253(iget)
       46    0.000    0.000    0.000    0.000 common.py:131(<lambda>)
       33    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       12    0.000    0.000    0.000    0.000 fromnumeric.py:1140(argmax)
        1    0.000    0.000    0.000    0.000 callback.py:316(_init)
        3    0.000    0.000    0.000    0.000 concat.py:494(_clean_keys_and_objs)
       12    0.000    0.000    0.000    0.000 inspect.py:3254(bind)
       18    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       42    0.000    0.000    0.000    0.000 callback.py:300(_lt_delta)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        6    0.000    0.000    0.000    0.000 cast.py:1580(construct_1d_object_array_from_listlike)
       89    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        3    0.000    0.000    0.000    0.000 concat.py:202(_maybe_reindex_columns_na_proxy)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        9    0.000    0.000    0.000    0.000 shape_base.py:23(atleast_1d)
        3    0.000    0.000    0.000    0.000 basic.py:985(from_booster)
       45    0.000    0.000    0.000    0.000 _methods.py:55(_any)
       16    0.000    0.000    0.000    0.000 typing.py:1175(__instancecheck__)
        3    0.000    0.000    0.001    0.000 _classification.py:137(accuracy_score)
       21    0.000    0.000    0.000    0.000 managers.py:1764(is_consolidated)
       21    0.000    0.000    0.000    0.000 range.py:483(_view)
       27    0.000    0.000    0.000    0.000 fromnumeric.py:1980(shape)
       16    0.000    0.000    0.000    0.000 data.py:55(_check_data_shape)
       43    0.000    0.000    0.000    0.000 data.py:356(is_pa_ext_dtype)
       18    0.000    0.000    0.000    0.000 base.py:1010(view)
       44    0.000    0.000    0.000    0.000 blocks.py:718(dtype)
       54    0.000    0.000    0.000    0.000 multiclass.py:115(<genexpr>)
        8    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
      165    0.000    0.000    0.000    0.000 inspect.py:2786(default)
       14    0.000    0.000    0.001    0.000 inspect.py:3325(signature)
        2    0.000    0.000    0.000    0.000 shape_base.py:512(expand_dims)
       21    0.000    0.000    0.000    0.000 basic.py:478(_c_str)
        9    0.000    0.000    0.000    0.000 __init__.py:1151(is_scalar_nan)
        3    0.000    0.000    0.000    0.000 basic.py:604(_choose_param_value)
       76    0.000    0.000    0.000    0.000 generic.py:405(flags)
       14    0.000    0.000    0.000    0.000 __init__.py:1790(isEnabledFor)
        3    0.000    0.000    0.000    0.000 basic.py:1212(__get_num_preds)
        5    0.000    0.000    0.000    0.000 core.py:189(_cast_to_base_types)
        1    0.000    0.000    0.000    0.000 {method '_get_learning_rate' of '_catboost._CatBoost' objects}
        8    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       26    0.000    0.000    0.000    0.000 basic.py:277(_is_numpy_1d_array)
        3    0.000    0.000    0.000    0.000 _methods.py:67(_count_reduce_items)
        3    0.000    0.000    0.000    0.000 base.py:1697(_validate_names)
        9    0.000    0.000    0.000    0.000 range.py:237(_data)
        6    0.000    0.000    0.000    0.000 base.py:5170(_get_engine_target)
        3    0.000    0.000    0.000    0.000 range.py:488(copy)
       20    0.000    0.000    0.000    0.000 contextlib.py:132(__enter__)
       51    0.000    0.000    0.000    0.000 base.py:84(<genexpr>)
        9    0.000    0.000    0.000    0.000 _label.py:84(fit)
        2    0.000    0.000    0.000    0.000 series.py:2083(to_frame)
       12    0.000    0.000    0.000    0.000 common.py:103(_maybe_match_name)
        3    0.000    0.000    0.001    0.000 core.py:2594(_predict)
       14    0.000    0.000    0.000    0.000 threading.py:1483(current_thread)
        2    0.000    0.000    0.000    0.000 core.py:1927(set_attr)
        7    0.000    0.000    0.000    0.000 series.py:1976(items)
        3    0.000    0.000    0.000    0.000 base.py:1809(set_names)
       18    0.000    0.000    0.000    0.000 common.py:1331(is_ea_or_datetimelike_dtype)
       21    0.000    0.000    0.000    0.000 managers.py:1772(_consolidate_check)
        3    0.000    0.000    0.000    0.000 cast.py:1392(np_find_common_type)
       50    0.000    0.000    0.000    0.000 common.py:152(cast_scalar_indexer)
        3    0.000    0.000    0.000    0.000 managers.py:935(_verify_integrity)
        1    0.000    0.000    0.012    0.012 models.py:160(evaluate)
        1    0.000    0.000    0.093    0.093 core.py:1775(_train)
       12    0.000    0.000    0.000    0.000 common.py:81(get_op_result_name)
       69    0.000    0.000    0.000    0.000 managers.py:1940(_block)
       14    0.000    0.000    0.000    0.000 blocks.py:2795(extend_blocks)
       44    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        6    0.000    0.000    0.000    0.000 inference.py:273(is_dict_like)
       27    0.000    0.000    0.000    0.000 _param_validation.py:363(is_satisfied_by)
        8    0.000    0.000    0.000    0.000 frame.py:659(_constructor_from_mgr)
        1    0.000    0.000    0.095    0.095 core.py:6333(train)
      118    0.000    0.000    0.000    0.000 copy.py:172(_deepcopy_atomic)
        1    0.000    0.000    0.001    0.001 basic.py:3780(add_valid)
       46    0.000    0.000    0.000    0.000 common.py:126(_classes_and_not_datetimelike)
       42    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       16    0.000    0.000    0.000    0.000 typing.py:1446(__subclasscheck__)
       17    0.000    0.000    0.000    0.000 blocks.py:214(is_extension)
       16    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
       84    0.000    0.000    0.000    0.000 base.py:1671(name)
       43    0.000    0.000    0.000    0.000 common.py:686(<lambda>)
        3    0.000    0.000    0.000    0.000 concat.py:480(_get_ndims)
       66    0.000    0.000    0.000    0.000 multiarray.py:1080(copyto)
        2    0.000    0.000    0.000    0.000 core.py:224(_process_verbose)
        3    0.000    0.000    0.000    0.000 concat.py:94(concatenate_managers)
        9    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
       30    0.000    0.000    0.000    0.000 _methods.py:61(_all)
        1    0.000    0.000    0.000    0.000 basic.py:844(_load_pandas_categorical)
        7    0.000    0.000    0.000    0.000 blocks.py:2827(external_values)
        8    0.000    0.000    0.000    0.000 core.py:115(make_jcargs)
        5    0.000    0.000    0.000    0.000 core.py:1060(set_label)
        4    0.000    0.000    0.000    0.000 core.py:1734(_configure_constraints)
        5    0.000    0.000    0.000    0.000 core.py:1340(_infer_feature_names)
       23    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        8    0.000    0.000    0.000    0.000 data.py:895(_is_cudf_ser)
       69    0.000    0.000    0.000    0.000 fromnumeric.py:195(_reshape_dispatcher)
       66    0.000    0.000    0.000    0.000 fromnumeric.py:2317(_any_dispatcher)
        8    0.000    0.000    0.000    0.000 frame.py:12590(values)
       18    0.000    0.000    0.000    0.000 managers.py:583(copy_func)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        9    0.000    0.000    0.000    0.000 _encode.py:10(_unique)
        3    0.000    0.000    0.000    0.000 concat.py:717(_get_concat_axis)
        1    0.000    0.000    0.202    0.202 profiling.py:15(get_model)
        6    0.000    0.000    0.000    0.000 base.py:3760(_assert_can_do_setop)
        3    0.000    0.000    0.000    0.000 api.py:106(_get_distinct_objs)
        9    0.000    0.000    0.000    0.000 base.py:609(_dtype_to_subclass)
       14    0.000    0.000    0.000    0.000 core.py:76(from_pystr_to_cstr)
       21    0.000    0.000    0.000    0.000 managers.py:1782(_consolidate_inplace)
        3    0.000    0.000    0.000    0.000 basic.py:1276(__pred_for_np2d)
        3    0.000    0.000    0.000    0.000 api.py:72(get_objs_combined_axis)
        3    0.000    0.000    0.000    0.000 basic.py:1916(get_params)
        3    0.000    0.000    0.001    0.000 core.py:2604(predict)
       12    0.000    0.000    0.000    0.000 construction.py:405(_check_values_indices_shape_match)
        3    0.000    0.000    0.000    0.000 concat.py:545(_get_sample_object)
       44    0.000    0.000    0.000    0.000 <string>:2(__init__)
        3    0.000    0.000    0.000    0.000 concat.py:707(_get_comb_axis)
        3    0.000    0.000    0.000    0.000 basic.py:950(__init__)
        2    0.000    0.000    0.000    0.000 basic.py:446(_cfloat32_array_to_numpy)
       24    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        3    0.000    0.000    0.000    0.000 fromnumeric.py:40(_wrapit)
        8    0.000    0.000    0.000    0.000 data.py:159(_is_scipy_coo)
        2    0.000    0.000    0.000    0.000 basic.py:1686(__init__)
        3    0.000    0.000    0.000    0.000 frozen.py:76(__getitem__)
        3    0.000    0.000    0.000    0.000 base.py:1922(rename)
        9    0.000    0.000    0.000    0.000 _classification.py:49(_check_zero_division)
        8    0.000    0.000    0.000    0.000 data.py:128(_is_scipy_csc)
       39    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        7    0.000    0.000    0.000    0.000 basic.py:692(_convert_from_sliced_object)
        9    0.000    0.000    0.000    0.000 core.py:301(_get_features_indices)
        4    0.000    0.000    0.000    0.000 basic.py:3163(num_feature)
        2    0.000    0.000    0.000    0.000 callback.py:329(__init__)
        3    0.000    0.000    0.000    0.000 function_base.py:398(average)
       31    0.000    0.000    0.000    0.000 managers.py:913(__init__)
        3    0.000    0.000    0.000    0.000 {method 'mean' of 'numpy.ndarray' objects}
       28    0.000    0.000    0.000    0.000 inspect.py:371(isfunction)
       25    0.000    0.000    0.000    0.000 __init__.py:42(warn_copy_on_write)
        3    0.000    0.000    0.000    0.000 concat.py:777(_concat_indexes)
       14    0.000    0.000    0.000    0.000 threading.py:1196(ident)
        6    0.000    0.000    0.000    0.000 base.py:456(_engine_type)
        9    0.000    0.000    0.000    0.000 base.py:591(_ensure_array)
        2    0.000    0.000    0.000    0.000 ctypeslib.py:506(as_array)
        9    0.000    0.000    0.000    0.000 common.py:536(is_string_dtype)
        2    0.000    0.000    0.000    0.000 callback.py:129(__init__)
       26    0.000    0.000    0.000    0.000 common.py:1270(is_1d_only_ea_dtype)
        1    0.000    0.000    0.095    0.095 core.py:2437(fit)
       13    0.000    0.000    0.000    0.000 data.py:221(_is_pandas_df)
       15    0.000    0.000    0.000    0.000 base.py:346(shape)
        6    0.000    0.000    0.000    0.000 generic.py:592(_get_block_manager_axis)
        5    0.000    0.000    0.000    0.000 frame.py:1933(to_numpy)
        9    0.000    0.000    0.000    0.000 generic.py:586(_get_axis)
       18    0.000    0.000    0.000    0.000 frame.py:1030(axes)
        9    0.000    0.000    0.000    0.000 common.py:529(is_string_or_object_np_dtype)
       56    0.000    0.000    0.000    0.000 inspect.py:3075(parameters)
       22    0.000    0.000    0.000    0.000 callback.py:387(<genexpr>)
        1    0.000    0.000    0.000    0.000 typing.py:1223(__init__)
        3    0.000    0.000    0.000    0.000 core.py:2156(_is_data_single_object)
        3    0.000    0.000    0.000    0.000 base.py:378(interleaved_dtype)
        9    0.000    0.000    0.000    0.000 shape_base.py:215(_vhstack_dispatcher)
        1    0.000    0.000    0.000    0.000 core.py:2148(_params_type_cast)
        8    0.000    0.000    0.000    0.000 {built-in method catboost._catboost._set_logger}
        1    0.000    0.000    0.000    0.000 typing.py:175(_type_check)
        6    0.000    0.000    0.000    0.000 typing.py:1169(__setattr__)
       54    0.000    0.000    0.000    0.000 fromnumeric.py:2172(_sum_dispatcher)
       33    0.000    0.000    0.000    0.000 multiarray.py:153(concatenate)
       41    0.000    0.000    0.000    0.000 flags.py:55(allows_duplicate_labels)
        2    0.000    0.000    0.000    0.000 basic.py:483(_c_array)
        4    0.000    0.000    0.000    0.000 <frozen _collections_abc>:104(_check_methods)
       15    0.000    0.000    0.000    0.000 range.py:553(equals)
        3    0.000    0.000    0.000    0.000 base.py:1768(_set_names)
        1    0.000    0.000    0.000    0.000 basic.py:2818(set_reference)
       35    0.000    0.000    0.000    0.000 generic.py:363(attrs)
        3    0.000    0.000    0.000    0.000 base.py:397(ensure_np_dtype)
        2    0.000    0.000    0.000    0.000 series.py:687(_constructor_expanddim_from_mgr)
        3    0.000    0.000    0.000    0.000 api.py:330(_sanitize_and_check)
        6    0.000    0.000    0.000    0.000 base.py:3766(_convert_can_do_setop)
        5    0.000    0.000    0.000    0.000 core.py:3450(get_params)
       22    0.000    0.000    0.000    0.000 callback.py:90(__call__)
        2    0.000    0.000    0.002    0.001 core.py:1869(__deepcopy__)
       11    0.000    0.000    0.000    0.000 core.py:1541(_process_synonyms_group)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        8    0.000    0.000    0.000    0.000 frame.py:4623(_clear_item_cache)
        8    0.000    0.000    0.000    0.000 data.py:975(_is_uri)
        1    0.000    0.000    0.001    0.001 core.py:1846(_calc_fstr)
       12    0.000    0.000    0.000    0.000 managers.py:937(<genexpr>)
       14    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       18    0.000    0.000    0.000    0.000 inference.py:300(<genexpr>)
       12    0.000    0.000    0.000    0.000 generic.py:6277(<genexpr>)
       12    0.000    0.000    0.000    0.000 construction.py:585(_ensure_2d)
       14    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.000    0.000 blocks.py:2811(ensure_block_shape)
        7    0.000    0.000    0.000    0.000 managers.py:2000(external_values)
        3    0.000    0.000    0.003    0.001 _classification.py:2195(recall_score)
       42    0.000    0.000    0.000    0.000 callback.py:64(before_iteration)
        1    0.000    0.000    0.000    0.000 core.py:1556(_process_synonyms_groups)
        1    0.000    0.000    0.000    0.000 core.py:1570(_process_synonyms)
       25    0.000    0.000    0.000    0.000 managers.py:196(blklocs)
       18    0.000    0.000    0.000    0.000 generic.py:572(_get_axis_number)
        3    0.000    0.000    0.000    0.000 fromnumeric.py:588(transpose)
        2    0.000    0.000    0.000    0.000 numeric.py:1330(normalize_axis_tuple)
       44    0.000    0.000    0.000    0.000 series.py:1480(_clear_item_cache)
        9    0.000    0.000    0.000    0.000 blocks.py:1262(_slice)
        2    0.000    0.000    0.000    0.000 callback.py:156(before_training)
        1    0.000    0.000    0.000    0.000 typing.py:1430(__getitem__)
        3    0.000    0.000    0.000    0.000 common.py:1081(is_numeric_dtype)
        9    0.000    0.000    0.000    0.000 _param_validation.py:315(is_satisfied_by)
       20    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        3    0.000    0.000    0.000    0.000 encoder.py:105(__init__)
       15    0.000    0.000    0.000    0.000 _internal.py:304(data)
        1    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        7    0.000    0.000    0.000    0.000 blocks.py:249(external_values)
       18    0.000    0.000    0.000    0.000 {built-in method from_iterable}
        3    0.000    0.000    0.000    0.000 _param_validation.py:591(is_satisfied_by)
       27    0.000    0.000    0.000    0.000 _ufunc_config.py:426(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:55(using_pyarrow_string_dtype)
       13    0.000    0.000    0.000    0.000 data.py:998(_is_list)
        9    0.000    0.000    0.000    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
       27    0.000    0.000    0.000    0.000 fromnumeric.py:1328(_searchsorted_dispatcher)
       14    0.000    0.000    0.000    0.000 inspect.py:767(_is_wrapper)
        2    0.000    0.000    0.000    0.000 callback.py:167(after_training)
        3    0.000    0.000    0.003    0.001 _classification.py:1283(fbeta_score)
        1    0.000    0.000    0.004    0.004 models.py:56(fill_params_)
       21    0.000    0.000    0.000    0.000 callback.py:385(_final_iteration_check)
        9    0.000    0.000    0.000    0.000 core.py:884(_check_string_feature_value)
        4    0.000    0.000    0.000    0.000 core.py:3431(get_param)
       10    0.000    0.000    0.000    0.000 core.py:219(_check_param_type)
       27    0.000    0.000    0.000    0.000 arraysetops.py:935(_setdiff1d_dispatcher)
        3    0.000    0.000    0.000    0.000 core.py:1818(_get_cat_feature_indices)
        7    0.000    0.000    0.000    0.000 typing.py:1117(_is_dunder)
        4    0.000    0.000    0.000    0.000 typing.py:1239(__hash__)
       13    0.000    0.000    0.000    0.000 managers.py:241(is_single_block)
        3    0.000    0.000    0.003    0.001 _classification.py:2015(precision_score)
       14    0.000    0.000    0.000    0.000 core.py:147(init_log)
        2    0.000    0.000    0.002    0.001 core.py:1873(copy)
       18    0.000    0.000    0.000    0.000 inspect.py:295(isclass)
        4    0.000    0.000    0.000    0.000 {method 'from_buffer' of '_ctypes.PyCArrayType' objects}
       27    0.000    0.000    0.000    0.000 multiarray.py:892(bincount)
       27    0.000    0.000    0.000    0.000 arraysetops.py:519(_in1d_dispatcher)
       27    0.000    0.000    0.000    0.000 nanfunctions.py:947(_nanmean_dispatcher)
        9    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        9    0.000    0.000    0.000    0.000 cast.py:1463(<genexpr>)
       25    0.000    0.000    0.000    0.000 base.py:6672(_maybe_cast_indexer)
       39    0.000    0.000    0.000    0.000 range.py:376(dtype)
       13    0.000    0.000    0.000    0.000 data.py:167(_is_np_array_like)
        6    0.000    0.000    0.000    0.000 base.py:1765(_get_names)
        2    0.000    0.000    0.002    0.001 copy.py:61(copy)
       27    0.000    0.000    0.000    0.000 fromnumeric.py:1976(_shape_dispatcher)
        7    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       13    0.000    0.000    0.000    0.000 data.py:1014(_is_tuple)
        7    0.000    0.000    0.000    0.000 series.py:789(values)
        1    0.000    0.000    0.000    0.000 basic.py:3547(free_dataset)
        2    0.000    0.000    0.000    0.000 basic.py:3207(get_ref_chain)
       12    0.000    0.000    0.000    0.000 _param_validation.py:295(is_satisfied_by)
        3    0.000    0.000    0.000    0.000 base.py:2313(is_unique)
       12    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        3    0.000    0.000    0.003    0.001 _classification.py:1091(f1_score)
       12    0.000    0.000    0.000    0.000 construction.py:196(mgr_to_mgr)
        2    0.000    0.000    0.000    0.000 basic.py:2570(_update_params)
        3    0.000    0.000    0.000    0.000 core.py:1122(get_label)
       18    0.000    0.000    0.000    0.000 blocks.py:266(mgr_locs)
       21    0.000    0.000    0.000    0.000 arraysetops.py:894(_union1d_dispatcher)
        3    0.000    0.000    0.000    0.000 base.py:773(_view)
        1    0.000    0.000    0.000    0.000 core.py:2873(get_embedding_feature_indices)
       15    0.000    0.000    0.000    0.000 generic.py:696(ndim)
        4    0.000    0.000    0.000    0.000 core.py:1824(_get_embedding_feature_indices)
        9    0.000    0.000    0.000    0.000 {built-in method math.isnan}
        6    0.000    0.000    0.000    0.000 base.py:3200(_get_reconciled_name_object)
        3    0.000    0.000    0.000    0.000 core.py:1827(_base_predict)
       15    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 common.py:1040(needs_i8_conversion)
        6    0.000    0.000    0.000    0.000 generic.py:6270(<genexpr>)
        4    0.000    0.000    0.000    0.000 <frozen os>:1087(__subclasshook__)
       12    0.000    0.000    0.000    0.000 range.py:947(<genexpr>)
        3    0.000    0.000    0.000    0.000 _decorators.py:325(wrapper)
        1    0.000    0.000    0.000    0.000 core.py:1481(_build_train_pool)
        2    0.000    0.000    0.000    0.000 core.py:1999(feature_names)
       10    0.000    0.000    0.000    0.000 core.py:233(<genexpr>)
        9    0.000    0.000    0.000    0.000 core.py:877(_check_string_feature_type)
        6    0.000    0.000    0.000    0.000 cast.py:1472(<genexpr>)
       21    0.000    0.000    0.000    0.000 _param_validation.py:305(is_satisfied_by)
        8    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        2    0.000    0.000    0.000    0.000 typing.py:1435(<genexpr>)
        4    0.000    0.000    0.000    0.000 core.py:1612(_configure_metrics)
        1    0.000    0.000    0.000    0.000 typing.py:1439(copy_with)
        9    0.000    0.000    0.000    0.000 basic.py:297(_is_1d_list)
        8    0.000    0.000    0.000    0.000 data.py:1028(_is_iter)
        1    0.000    0.000    0.000    0.000 core.py:2211(__init__)
        5    0.000    0.000    0.000    0.000 core.py:1092(_check_feature_names)
       14    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        6    0.000    0.000    0.000    0.000 _param_validation.py:592(<genexpr>)
        3    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 core.py:2122(_check_param_types)
        1    0.000    0.000    0.004    0.004 models.py:38(__init__)
        2    0.000    0.000    0.000    0.000 enum.py:197(__get__)
        9    0.000    0.000    0.000    0.000 blocks.py:2586(get_values)
        5    0.000    0.000    0.000    0.000 core.py:912(_check_data_type)
        1    0.000    0.000    0.000    0.000 basic.py:832(_dump_pandas_categorical)
        4    0.000    0.000    0.000    0.000 {method '_get_embedding_feature_indices' of '_catboost._CatBoost' objects}
        2    0.000    0.000    0.000    0.000 series.py:978(__array__)
        2    0.000    0.000    0.000    0.000 six.py:604(iteritems)
        2    0.000    0.000    0.000    0.000 callback.py:353(before_training)
       14    0.000    0.000    0.000    0.000 managers.py:246(items)
        7    0.000    0.000    0.000    0.000 core.py:1755(is_fitted)
        6    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 base.py:782(_rename)
        9    0.000    0.000    0.000    0.000 blocks.py:1249(shape)
        2    0.000    0.000    0.000    0.000 core.py:248(enum_from_enum_or_str)
        3    0.000    0.000    0.000    0.000 core.py:1977(tree_count_)
       19    0.000    0.000    0.000    0.000 <frozen _collections_abc>:341(__subclasshook__)
        9    0.000    0.000    0.000    0.000 cast.py:1479(<genexpr>)
        1    0.000    0.000    0.000    0.000 typing.py:1130(__init__)
        1    0.000    0.000    0.000    0.000 callback.py:40(__init__)
        8    0.000    0.000    0.000    0.000 typing.py:1233(__eq__)
        3    0.000    0.000    0.000    0.000 core.py:1821(_get_text_feature_indices)
        2    0.000    0.000    0.002    0.001 core.py:1866(__copy__)
        1    0.000    0.000    0.000    0.000 core.py:1645(stringify_builtin_metrics)
        6    0.000    0.000    0.000    0.000 construction.py:688(_sanitize_non_ordered)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        3    0.000    0.000    0.000    0.000 core.py:2588(_validate_prediction_type)
        2    0.000    0.000    0.000    0.000 core.py:1291(_label_if_pandas_to_numpy)
        4    0.000    0.000    0.000    0.000 callback.py:322(<genexpr>)
        5    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
        2    0.000    0.000    0.000    0.000 base.py:74(__len__)
        4    0.000    0.000    0.000    0.000 basic.py:367(_is_pyarrow_array)
        6    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       13    0.000    0.000    0.000    0.000 {built-in method sys.audit}
       12    0.000    0.000    0.000    0.000 common.py:178(<genexpr>)
       12    0.000    0.000    0.000    0.000 inspect.py:2874(__init__)
        1    0.000    0.000    0.000    0.000 enum.py:1274(name)
       12    0.000    0.000    0.000    0.000 fromnumeric.py:1136(_argmax_dispatcher)
        3    0.000    0.000    0.000    0.000 common.py:174(not_none)
        2    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        6    0.000    0.000    0.000    0.000 cast.py:1474(<genexpr>)
       12    0.000    0.000    0.000    0.000 _array_api.py:53(_check_array_api_dispatch)
        3    0.000    0.000    0.000    0.000 concat.py:693(_get_result_dim)
        1    0.000    0.000    0.000    0.000 {built-in method catboost._catboost.is_groupwise_metric}
        1    0.000    0.000    0.000    0.000 typing.py:1159(__getattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:1776(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
       10    0.000    0.000    0.000    0.000 core.py:1485(<genexpr>)
        9    0.000    0.000    0.000    0.000 range.py:280(start)
